2020-03-31 10:08:47.711 | 8 | EROR | Calculadora | Calculadora.Handlers.PedidoAsignadoHandler | Se produjo un error al procesar el evento de negocio: <PedidoAsignado xmlns="http://integracion.andreani.com/eventosDeAlmacenes" xmlns:i="http://www.w3.org/2001/XMLSchema-instance"><timestamp xmlns="http://integracion.andreani.com/eventosDeIntegracion">2020-03-30T23:36:24.1292732-03:00</timestamp><remitente xmlns="http://integracion.andreani.com/eventosDeIntegracion">OPERACIONES-API</remitente><destinatario xmlns="http://integracion.andreani.com/eventosDeIntegracion">QL.BORRARME.REQ</destinatario><numeroDeOrden xmlns="http://integracion.andreani.com/eventosDeIntegracion">1a22a3f8-bd42-45c6-8a8f-8779a3577605</numeroDeOrden><vencimiento xmlns="http://integracion.andreani.com/eventosDeIntegracion">9999-12-31T23:59:59.9999999</vencimiento><numeroDePedido/><cuando/><codigoDeContratoInterno>35</codigoDeContratoInterno><estadoDelPedido>7</estadoDelPedido><cicloDelPedido>sumar</cicloDelPedido><cuentaCorriente>31820</cuentaCorriente><topic>PedidosDeAlmacen/Traza/PedidoAsignado</topic></PedidoAsignado>: detalle del error:Exception has been thrown by the target of an invocation.
2020-03-31 10:08:52.729 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:08:54.852 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:08:58.985 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:09:10.590 | 8 | EROR | Calculadora | Calculadora.Handlers.PedidoAsignadoHandler | Se produjo un error al procesar el evento de negocio: <PedidoAsignado xmlns="http://integracion.andreani.com/eventosDeAlmacenes" xmlns:i="http://www.w3.org/2001/XMLSchema-instance"><timestamp xmlns="http://integracion.andreani.com/eventosDeIntegracion">2020-03-30T23:36:40.4185294-03:00</timestamp><remitente xmlns="http://integracion.andreani.com/eventosDeIntegracion">OPERACIONES-API</remitente><destinatario xmlns="http://integracion.andreani.com/eventosDeIntegracion">QL.BORRARME.REQ</destinatario><numeroDeOrden xmlns="http://integracion.andreani.com/eventosDeIntegracion">88e8f952-f933-4cc7-88ae-0817486131b3</numeroDeOrden><vencimiento xmlns="http://integracion.andreani.com/eventosDeIntegracion">9999-12-31T23:59:59.9999999</vencimiento><numeroDePedido/><cuando/><codigoDeContratoInterno>35</codigoDeContratoInterno><estadoDelPedido>117</estadoDelPedido><cicloDelPedido>sumar</cicloDelPedido><cuentaCorriente>dec55</cuentaCorriente><topic>PedidosDeAlmacen/Traza/PedidoAsignado</topic></PedidoAsignado>: detalle del error:Exception has been thrown by the target of an invocation.
2020-03-31 10:09:12.794 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:09:14.924 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:09:19.050 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:09:29.945 | 8 | EROR | Calculadora | Calculadora.Handlers.PedidoAsignadoHandler | Se produjo un error al procesar el evento de negocio: <PedidoAsignado xmlns="http://integracion.andreani.com/eventosDeAlmacenes" xmlns:i="http://www.w3.org/2001/XMLSchema-instance"><timestamp xmlns="http://integracion.andreani.com/eventosDeIntegracion">2020-03-31T09:48:57.9794636-03:00</timestamp><remitente xmlns="http://integracion.andreani.com/eventosDeIntegracion">OPERACIONES-API</remitente><destinatario xmlns="http://integracion.andreani.com/eventosDeIntegracion">QL.BORRARME.REQ</destinatario><numeroDeOrden xmlns="http://integracion.andreani.com/eventosDeIntegracion">155127fd-f1cc-4f4d-8d79-eb35998fd13d</numeroDeOrden><vencimiento xmlns="http://integracion.andreani.com/eventosDeIntegracion">9999-12-31T23:59:59.9999999</vencimiento><numeroDePedido/><cuando/><codigoDeContratoInterno>35</codigoDeContratoInterno><estadoDelPedido>117</estadoDelPedido><cicloDelPedido>sumar</cicloDelPedido><cuentaCorriente>cc727</cuentaCorriente><topic>PedidosDeAlmacen/Traza/PedidoAsignado</topic></PedidoAsignado>: detalle del error:Exception has been thrown by the target of an invocation.
2020-03-31 10:13:47.697 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.IbmMQManagedConnection | MQ exception while getting messages.
CompCode: 2, Reason: 2018
2020-03-31 10:13:47.702 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.IbmMQManagedConnection | MQ Connection broken. Forcing reconnect.
CompCode: 2, Reason: 2009
2020-03-31 10:13:47.704 | 8 | INFO | Calculadora | Infra.EventBus.IbmMQ.IbmMQManagedConnection | Connecting to IBM MQ GA02.AR.T.QM - Channel ITG.TO.GA02.TEST - Connection Info 192.6.6.39(1416) - Queue QL.BORRARME.REQ
2020-03-31 10:17:00.295 | 18 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:17:02.669 | 18 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:17:06.813 | 18 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:17:27.459 | 18 | EROR | Calculadora | Calculadora.Handlers.PedidoAsignadoHandler | Se produjo un error al procesar el evento de negocio: <PedidoAsignado xmlns="http://integracion.andreani.com/eventosDeAlmacenes" xmlns:i="http://www.w3.org/2001/XMLSchema-instance"><timestamp xmlns="http://integracion.andreani.com/eventosDeIntegracion">2020-03-31T10:16:51.0819164-03:00</timestamp><remitente xmlns="http://integracion.andreani.com/eventosDeIntegracion">OPERACIONES-API</remitente><destinatario xmlns="http://integracion.andreani.com/eventosDeIntegracion">QL.BORRARME.REQ</destinatario><numeroDeOrden xmlns="http://integracion.andreani.com/eventosDeIntegracion">c4694cdd-ff97-494c-a7af-0437eec4c679</numeroDeOrden><vencimiento xmlns="http://integracion.andreani.com/eventosDeIntegracion">9999-12-31T23:59:59.9999999</vencimiento><numeroDePedido/><cuando/><codigoDeContratoInterno>35</codigoDeContratoInterno><estadoDelPedido>17</estadoDelPedido><cicloDelPedido>sumar</cicloDelPedido><cuentaCorriente>56d69</cuentaCorriente><topic>PedidosDeAlmacen/Traza/PedidoAsignado</topic></PedidoAsignado>: detalle del error:Exception has been thrown by the target of an invocation.
2020-03-31 10:18:21.679 | 18 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
