2020-03-30 10:59:15.887 | 1 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.QueueConsumerService | Not subscribed to Andreani.Integracion.Eventos.Almacenes.PedidoCreado: Handler Type PedidoCreadoHandler already registered for 'PedidosDeAlmacen/Traza/PedidoCreado'
Parameter name: handlerType
2020-03-30 10:59:16.040 | 1 | INFO | OperacionesApi | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart() returned
2020-03-30 10:59:16.049 | 1 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.QueueConsumerService | StartReceiving from Queue.
2020-03-30 10:59:16.054 | 1 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.QueueConsumerService | StartReceiving from Queue.
2020-03-30 10:59:16.074 | 6 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.IbmMQManagedConnection | Connecting to IBM MQ GA02.AR.T.QM - Channel ITG.TO.GA02.TEST - Connection Info 192.6.6.39(1416) - Queue QL.BULPYMED.TEST.REQ
2020-03-30 10:59:16.074 | 7 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.IbmMQManagedConnection | Connecting to IBM MQ GA02.AR.T.QM - Channel ITG.TO.GA02.TEST - Connection Info 192.6.6.39(1416) - Queue QL.BULPYMED.TEST.REQ
2020-03-30 10:59:26.532 | 6 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request starting HTTP/1.1 GET http://localhost:5000/api-docs/  
2020-03-30 10:59:26.640 | 6 | INFO | OperacionesApi | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | The file /index.html was not modified
2020-03-30 10:59:26.766 | 6 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request finished in 243.9597ms 304 text/html
2020-03-30 10:59:26.827 | 7 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request starting HTTP/1.1 GET http://localhost:5000/openapi.yaml  
2020-03-30 10:59:27.380 | 7 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request finished in 552.5858ms 404 application/json; charset=utf-8
2020-03-30 11:00:41.161 | 6 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request starting HTTP/1.1 GET http://localhost:5000/api-docs/  
2020-03-30 11:00:41.182 | 6 | INFO | OperacionesApi | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | The file /index.html was not modified
2020-03-30 11:00:41.189 | 6 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request finished in 27.7221ms 304 text/html
2020-03-30 11:00:41.288 | 15 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request starting HTTP/1.1 GET http://localhost:5000/openapi.yaml  
2020-03-30 11:00:41.291 | 15 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request finished in 2.93ms 404 application/json; charset=utf-8
